id;allenatore;fascia;girone;ods;ranking;serie;squadra;stagione
33;Fede235;4;A;1;26;A;A.S. Paulina Maria;2017
34;Hiroshi;1;A;2;6;A;Jeeg Robot;2017
35;Savarsenal;1;A;3;1;A;Left Wings United;2017
36;Sailor;4;A;4;32;A;Novorossyisk;2017
37;Stef;1;A;5;8;A;Real Mafra;2017
38;Jocker;2;A;6;14;A;S.C. Pilarella;2017
39;10Zico10;4;A;7;29;A;Ziamamu F.C.;2017
40;Pit Stop;2;A;8;11;A;Pit Stop F.C.;2017
41;Santaklaus;2;B;1;13;A;Atletico Lupin;2017
42;Battleaxe;3;B;2;18;A;Corsari;2017
43;Lippolo;1;B;3;3;A;Gaston Villa;2017
44;Caniggia;3;B;4;17;A;Machu Picchu;2017
45;GiBi;2;B;5;16;A;Personal GB;2017
46;Creator;3;B;6;24;A;Phoenix S.R.C.L.;2017
47;Mark Mol;1;B;7;2;A;Real Ultima;2017
48;Cerezo;3;B;8;22;A;Simpatiche Canaglie;2017
49;Yeboah;4;C;1;31;A;Younes F.C.;2017
50;Numero6;1;C;2;7;A;Davidano;2017
51;Draghetto;3;C;3;20;A;Draculino Team;2017
52;Cliath;3;C;4;23;A;Kilkenny;2017
53;Marcocroce;2;C;5;15;A;Piotteam F.C.;2017
54;Woland;1;C;6;5;A;Ragni Domestici;2017
55;Spike;3;C;7;21;A;Team Blizzard;2017
56;Korlos;4;C;8;30;A;Trimonese;2017
57;Zag;4;D;1;25;A;Annabella;2017
58;Capitan Harlock;4;D;2;28;A;Arcadia LF;2017
59;Montezuma;2;D;3;12;A;Azteca Warriors;2017
60;Mark;4;D;4;27;A;F.C. Ezio Glerean;2017
61;Federico;2;D;5;10;A;Fantatalanta;2017
62;Dive;1;D;6;4;A;Mandarino Bretone;2017
63;Peciu;3;D;7;19;A;Peciunova;2017
64;Yazid;2;D;8;9;A;Aston Pippa;2017
65;Jamal;4;E;1;64;B;Alma Lejana;2017
66;Bibik;3;E;2;56;B;Argonauta Interrotta;2017
67;Gioschi;2;E;3;41;B;Cetriolo Globale;2017
68;Juk;2;E;4;43;B;Jukatan;2017
69;Otty;3;E;5;54;B;Praetorians;2017
70;Nikko;4;E;6;61;B;Sport Goofy;2017
71;Irriducibili Lazio;2;E;7;46;B;Viagra Taurins;2017
72;WB77;4;E;8;60;B;Yeppas Braids;2017
73;Remida;3;F;1;51;B;B.B. King;2017
74;Danbell;2;F;2;47;B;Ciak;2017
75;Wombato;1;F;3;39;B;Impepata di Cozze;2017
76;Kempes;3;F;4;53;B;Independiente Viola;2017
77;Andrea2003;4;F;5;59;B;New Team F.C.;2017
78;Nicky78;3;F;6;49;B;Ntrunks LF:the begin;2017
79;Master II;1;F;7;36;B;Salumi Zampetti;2017
80;Swansea;4;F;8;58;B;Swansea F.C.;2017
81;River;3;G;1;55;B;Asilo Mariuccia;2017
82;Tino;2;G;2;48;B;Brigata Marelli;2017
83;Bubu;3;G;3;50;B;Civico90;2017
84;Fatbear;1;G;4;65;B;Footbears F.C.;2017
85;Antoncasta;4;G;5;63;B;Miami Sharks;2017
86;Fox;1;G;6;38;B;Real Castagna;2017
87;Steel;1;G;7;37;B;Steel United;2017
88;Biblioman;1;G;8;35;B;Valis Castros;2017
89;Lucky Black;2;H;1;44;B;A.S. Poker;2017
90;Vervex;2;H;2;42;B;Armata Brancaleone;2017
91;Comandante Mark;1;H;3;40;B;Black Stars;2017
93;GFMarco;4;H;5;57;B;Etna Soccer;2017
94;Forza Reggina;4;H;6;62;B;Hic Sunt Leones;2017
95;Kirko;2;H;7;45;B;Micro F.C.;2017
96;Phoenix75;1;H;8;34;B;Phoenix United;2017
97;Super123;1;I;1;71;C;Atletico Fornaci;2017
98;Valus;1;I;2;70;C;Braveheart;2017
99;MrMaster;4;I;3;95;C;Buddharaf;2017
100;Massimiliano;1;I;4;69;C;Forums Dream;2017
101;Givizeta;3;I;5;87;C;JC Superstar;2017
92;Squaraus;3;H;4;52;B;Cave Canem F.C.;2017
102;Marco Goccia;3;I;6;82;C;Minga Bun;2017
103;Il Guru;1;I;7;33;C;Amletico Madrid;2017
104;Marco Aurelio;2;I;8;77;C;S.P.Q.R.;2017
105;Genzo;3;L;1;88;C;Alabarda Spaziale;2017
106;Danilo;3;L;2;85;C;Atletico Culone F.C.;2017
107;Piantada;4;L;3;93;C;Brescia 1911;2017
